11.0.0,04.07.2022
10.1.2,11.04.2022
10.1.1,13.09.2021
10.1.0,13.08.2021
10.0.1,27.07.2021
10.0.0,17.07.2021
9.1.0,09.04.2021
9.1.0,23.06.2020
8.1.0,11.09.2019
8.0.0,13.02.2019
7.1.4,22.11.2018
7.1.3,19.11.2018
7.1.2,08.11.2018
7.1.1,11.07.2018
7.1.0,20.02.2018
7.0.0,30.11.2017
6.4.0,06.11.2017
6.3.0,25.09.2017
6.2.3,02.05.2017
6.2.2,24.04.2017
6.2.1,02.04.2017
6.2.0,28.03.2017
6.1.2,26.01.2017
6.1.1,03.01.2017
6.1.0,02.11.2016
6.0.0,20.10.2016
5.2.2,26.07.2016
5.2.1,11.07.2016
5.2.0,29.06.2016
5.1.1,24.02.2016
5.1.0,19.01.2016
5.0.0,01.11.2015
4.1.1,01.08.2015
4.1.0,01.07.2015
4.0.2,01.05.2015
4.0.1,01.04.2015
4.0.0,01.03.2015
3.7.1,01.01.2015
3.7.0,01.01.2015
3.6.4,30.09.2014
3.6.0,01.09.2014
3.5.1,01.08.2014
3.5.0,01.05.2014
3.4.0,01.02.2014
3.3.0,01.12.2013
3.2.0,01.11.2013
3.1.0,01.09.2013
