6.4.2,05.01.2023
6.4.1,15.11.2022
6.4.0,29.09.2022
6.3.2,12.09.2022
6.3.1,14.06.2022
6.3.0,12.04.2022
6.2.4,18.03.2022
6.2.3,28.01.2022
6.2.2,01.12.2021
5.12.12,26.11.2021
6.2.1,27.10.2021
6.2.0,30.09.2021
6.1.3,01.09.2021
6.1.2,01.07.2021
6.1.1,07.06.2021
5.12.11,25.05.2021
5.15.4,12.05.2021
6.1.0,06.05.2021
6.0.4,04.05.2021
6.0.3,31.03.2021
5.15.3,04.03.2021
6.0.2,03.03.2021
6.0.1,03.02.2021
6.0.0,08.12.2020
5.15.2,20.11.2020
5.12.10,10.11.2020
5.15.1,10.09.2020
5.12.9,17.06.2020
5.15.0,26.05.2020
5.12.8,08.04.2020
5.14.2,31.03.2020
5.12.7,31.01.2020
5.14.1,27.01.2020
5.9.9,17.12.2019
5.14.0,12.12.2019
5.12.6,13.11.2019
5.13.2,31.10.2019
5.12.5,11.09.2019
5.13.1,05.09.2019
5.13.0,19.06.2019
5.12.4,17.06.2019
5.9.8,18.04.2019
5.12.3,17.04.2019
5.12.2,15.03.2019
5.12.1,01.02.2019
5.12.0,06.12.2018
5.11.3,04.12.2018
5.9.7,23.10.2018
5.11.2,20.09.2018
5.11.1,19.06.2018
5.9.6,11.06.2018
5.11.0,22.05.2018
5.9.5,12.04.2018
5.10.1,13.02.2018
5.9.4,23.01.2018
5.10.0,07.12.2017
5.9.3,22.11.2017
5.9.2,06.10.2017
5.6.3,21.09.2017
5.9.1,30.06.2017
5.9.0,31.03.2017
5.8.0,23.01.2017
5.7.1,14.12.2016
5.6.2,12.10.2016
5.7.0,16.06.2016
5.6.1,08.06.2016
5.6.0,16.03.2016
5.5.1,15.10.2015
5.5.0,01.07.2015
5.4.2,02.06.2015
5.4.1,24.02.2015
5.4.0,10.12.2014
5.3.2,16.09.2014
5.3.1,25.06.2014
5.3.0,20.05.2014
5.2.1,05.02.2014
5.2.0,12.12.2013
5.1.1,28.08.2013
5.1.0,03.07.2013
5.0.0,19.12.2012
4.8.0,15.12.2011
4.7.0,21.09.2010
4.6.0,01.12.2009
4.5.0,03.03.2009
4.4.0,06.05.2008
4.3.0,30.05.2007
4.2.0,04.10.2006
4.1.0,20.12.2005
4.0.0,28.06.2005
3.3.0,05.02.2004
3.2.0,24.07.2003
3.1.0,14.11.2001
3.0.0,16.10.2001
2.3.0,08.03.2001
2.2.0,07.12.2000
2.1.0,13.04.2000
2.0.0,26.06.1999
1.45.0,01.04.1999
1.44.0,13.03.1999
1.42.0,19.12.1998
1.41.0,02.10.1998
1.40.0,01.09.1998
1.3.0,01.09.1997
1.2.0,01.04.1997
1.1.0,01.11.1996
1.0.0,24.09.1996
0.97.0,01.05.1996
0.90.0,20.05.1995
